dataset	sample_id	cohort_role	a_candidate_count	truth_overlap_candidate_count	existing_final_disposition_counts	branch_b_report_class_counts	v2_candidate_class_counts	v2_classifier_action_counts	v2_final_report_impact_counts
2026-06-15 shadow-report set	JZ26125843-56-56	shadow_unknown	29	0	LIKELY_ARTIFACT=27; REVIEW_REQUIRED=2	candidate_review=2; technical_artifact=27	LIKELY_ARTIFACT_SHADOW=27; REVIEW_REQUIRED=2	SHADOW_ARTIFACT_REVIEW=27; SHADOW_REVIEW_ONLY=2	none_shadow_only=29
2026-06-15 shadow-report set	JZ26125844-59-59	shadow_unknown	29	0	LIKELY_ARTIFACT=27; REVIEW_REQUIRED=2	candidate_review=2; technical_artifact=27	LIKELY_ARTIFACT_SHADOW=27; REVIEW_REQUIRED=2	SHADOW_ARTIFACT_REVIEW=27; SHADOW_REVIEW_ONLY=2	none_shadow_only=29
2026-06-15 shadow-report set	JZ26125845-60-60	shadow_unknown	47	0	LIKELY_ARTIFACT=27; REVIEW_REQUIRED=20	candidate_review=20; technical_artifact=27	LIKELY_ARTIFACT_SHADOW=27; REVIEW_REQUIRED=20	SHADOW_ARTIFACT_REVIEW=27; SHADOW_REVIEW_ONLY=20	none_shadow_only=47
2026-06-15 shadow-report set	JZ26125846-61-61	shadow_unknown	38	0	LIKELY_ARTIFACT=36; REVIEW_REQUIRED=2	candidate_review=2; technical_artifact=36	LIKELY_ARTIFACT_SHADOW=36; REVIEW_REQUIRED=2	SHADOW_ARTIFACT_REVIEW=36; SHADOW_REVIEW_ONLY=2	none_shadow_only=38
2026-06-15 shadow-report set	JZ26125847-62-62	shadow_unknown	27	0	LIKELY_ARTIFACT=25; REVIEW_REQUIRED=2	candidate_review=2; technical_artifact=25	LIKELY_ARTIFACT_SHADOW=25; REVIEW_REQUIRED=2	SHADOW_ARTIFACT_REVIEW=25; SHADOW_REVIEW_ONLY=2	none_shadow_only=27
H1-H6 positives + H7-H16 review	H1	locked_positive	9	2	LIKELY_ARTIFACT=6; REVIEW_REQUIRED=3	candidate_review=3; technical_artifact=6	LIKELY_ARTIFACT_SHADOW=6; REVIEW_REQUIRED=3	SHADOW_ARTIFACT_REVIEW=6; SHADOW_REVIEW_ONLY=3	none_shadow_only=9
H1-H6 positives + H7-H16 review	H10	presumed_negative_review	18	0	LIKELY_ARTIFACT=18	technical_artifact=18	LIKELY_ARTIFACT_SHADOW=18	SHADOW_ARTIFACT_REVIEW=18	none_shadow_only=18
H1-H6 positives + H7-H16 review	H11	presumed_negative_review	19	0	LIKELY_ARTIFACT=19	technical_artifact=19	LIKELY_ARTIFACT_SHADOW=19	SHADOW_ARTIFACT_REVIEW=19	none_shadow_only=19
H1-H6 positives + H7-H16 review	H12	presumed_negative_review	22	0	LIKELY_ARTIFACT=22	technical_artifact=22	LIKELY_ARTIFACT_SHADOW=22	SHADOW_ARTIFACT_REVIEW=22	none_shadow_only=22
H1-H6 positives + H7-H16 review	H13	presumed_negative_review	30	0	LIKELY_ARTIFACT=28; REVIEW_REQUIRED=2	candidate_review=2; technical_artifact=28	LIKELY_ARTIFACT_SHADOW=28; REVIEW_REQUIRED=2	SHADOW_ARTIFACT_REVIEW=28; SHADOW_REVIEW_ONLY=2	none_shadow_only=30
H1-H6 positives + H7-H16 review	H14	presumed_negative_review	22	0	LIKELY_ARTIFACT=20; REVIEW_REQUIRED=2	candidate_review=2; technical_artifact=20	LIKELY_ARTIFACT_SHADOW=20; REVIEW_REQUIRED=2	SHADOW_ARTIFACT_REVIEW=20; SHADOW_REVIEW_ONLY=2	none_shadow_only=22
H1-H6 positives + H7-H16 review	H15	presumed_negative_review	15	0	LIKELY_ARTIFACT=15	technical_artifact=15	LIKELY_ARTIFACT_SHADOW=15	SHADOW_ARTIFACT_REVIEW=15	none_shadow_only=15
H1-H6 positives + H7-H16 review	H16	presumed_negative_review	19	0	LIKELY_ARTIFACT=19	technical_artifact=19	LIKELY_ARTIFACT_SHADOW=19	SHADOW_ARTIFACT_REVIEW=19	none_shadow_only=19
H1-H6 positives + H7-H16 review	H2	locked_positive	31	3	LIKELY_ARTIFACT=28; REVIEW_REQUIRED=3	candidate_review=3; technical_artifact=28	LIKELY_ARTIFACT_SHADOW=28; REVIEW_REQUIRED=3	SHADOW_ARTIFACT_REVIEW=28; SHADOW_REVIEW_ONLY=3	none_shadow_only=31
H1-H6 positives + H7-H16 review	H3	locked_positive	17	1	LIKELY_ARTIFACT=16; REVIEW_REQUIRED=1	candidate_review=1; technical_artifact=16	LIKELY_ARTIFACT_SHADOW=16; REVIEW_REQUIRED=1	SHADOW_ARTIFACT_REVIEW=16; SHADOW_REVIEW_ONLY=1	none_shadow_only=17
H1-H6 positives + H7-H16 review	H4	locked_positive	19	3	LIKELY_ARTIFACT=16; REVIEW_REQUIRED=3	candidate_review=3; technical_artifact=16	LIKELY_ARTIFACT_SHADOW=16; REVIEW_REQUIRED=3	SHADOW_ARTIFACT_REVIEW=16; SHADOW_REVIEW_ONLY=3	none_shadow_only=19
H1-H6 positives + H7-H16 review	H5	locked_positive	21	2	LIKELY_ARTIFACT=19; REVIEW_REQUIRED=2	candidate_review=2; technical_artifact=19	LIKELY_ARTIFACT_SHADOW=19; REVIEW_REQUIRED=2	SHADOW_ARTIFACT_REVIEW=19; SHADOW_REVIEW_ONLY=2	none_shadow_only=21
H1-H6 positives + H7-H16 review	H6	locked_positive	17	3	LIKELY_ARTIFACT=14; REVIEW_REQUIRED=3	candidate_review=3; technical_artifact=14	LIKELY_ARTIFACT_SHADOW=14; REVIEW_REQUIRED=3	SHADOW_ARTIFACT_REVIEW=14; SHADOW_REVIEW_ONLY=3	none_shadow_only=17
H1-H6 positives + H7-H16 review	H7	presumed_negative_review	13	0	LIKELY_ARTIFACT=13	technical_artifact=13	LIKELY_ARTIFACT_SHADOW=13	SHADOW_ARTIFACT_REVIEW=13	none_shadow_only=13
H1-H6 positives + H7-H16 review	H8	presumed_negative_review	17	0	LIKELY_ARTIFACT=16; REVIEW_REQUIRED=1	candidate_review=1; technical_artifact=16	LIKELY_ARTIFACT_SHADOW=16; REVIEW_REQUIRED=1	SHADOW_ARTIFACT_REVIEW=16; SHADOW_REVIEW_ONLY=1	none_shadow_only=17
H1-H6 positives + H7-H16 review	H9	presumed_negative_review	18	0	LIKELY_ARTIFACT=18	technical_artifact=18	LIKELY_ARTIFACT_SHADOW=18	SHADOW_ARTIFACT_REVIEW=18	none_shadow_only=18
Y1-Y8 locked positives	Y1	locked_positive	17	2	LIKELY_ARTIFACT=16; REVIEW_REQUIRED=1	candidate_review=1; technical_artifact=16	REVIEW_REQUIRED=17	SHADOW_REVIEW_ONLY=17	none_shadow_only=17
Y1-Y8 locked positives	Y2	locked_positive	22	3	LIKELY_ARTIFACT=19; REVIEW_REQUIRED=3	candidate_review=3; technical_artifact=19	REVIEW_REQUIRED=22	SHADOW_REVIEW_ONLY=22	none_shadow_only=22
Y1-Y8 locked positives	Y3	locked_positive	15	2	LIKELY_ARTIFACT=13; REVIEW_REQUIRED=2	candidate_review=2; technical_artifact=13	REVIEW_REQUIRED=15	SHADOW_REVIEW_ONLY=15	none_shadow_only=15
Y1-Y8 locked positives	Y4	locked_positive	25	1	LIKELY_ARTIFACT=22; REVIEW_REQUIRED=3	candidate_review=3; technical_artifact=22	REVIEW_REQUIRED=25	SHADOW_REVIEW_ONLY=25	none_shadow_only=25
Y1-Y8 locked positives	Y5	locked_positive	9	1	LIKELY_ARTIFACT=6; REVIEW_REQUIRED=3	candidate_review=3; technical_artifact=6	REVIEW_REQUIRED=9	SHADOW_REVIEW_ONLY=9	none_shadow_only=9
Y1-Y8 locked positives	Y6	locked_positive	15	2	LIKELY_ARTIFACT=12; REVIEW_REQUIRED=3	candidate_review=3; technical_artifact=12	REVIEW_REQUIRED=15	SHADOW_REVIEW_ONLY=15	none_shadow_only=15
Y1-Y8 locked positives	Y7	locked_positive	19	1	LIKELY_ARTIFACT=17; REVIEW_REQUIRED=2	candidate_review=2; technical_artifact=17	REVIEW_REQUIRED=19	SHADOW_REVIEW_ONLY=19	none_shadow_only=19
Y1-Y8 locked positives	Y8	locked_positive	21	1	LIKELY_ARTIFACT=18; REVIEW_REQUIRED=3	candidate_review=3; technical_artifact=18	REVIEW_REQUIRED=21	SHADOW_REVIEW_ONLY=21	none_shadow_only=21
